energy_100g,proteins_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,sodium_100g,fiber_100g,kcal,category
1904.0,12.12,15.15,6.06,69.7,0.0,0.848,15.2,455.0669216061185,2
1753.0,9.1,10.8,1.9,66.9,2.3,0.543307086614173,8.9,418.97705544933075,2
1950.0,10.0,16.7,3.33,66.7,3.33,0.8,3.33,466.06118546845124,2
1950.0,13.3,16.7,3.33,63.3,3.33,0.9,3.33,466.06118546845124,2
1958.0,11.6,18.1,3.7,64.2,1.4,0.748031496062992,2.5,467.97323135755255,2
368.0,0.0,0.0,0.0,23.53,23.53,0.941,0.0,87.95411089866157,3
494.0,0.0,0.0,0.0,23.53,23.53,0.882,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,23.53,23.53,0.882,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,23.53,23.53,0.882,0.0,118.06883365200764,3
1774.0,6.06,24.24,9.09,48.48,0.0,0.758,12.1,423.9961759082218,2
2243.0,7.14,32.14,17.86,53.57,0.0,1.179,14.3,536.0898661567877,2
1890.0,7.14,16.7,2.38,69.0,26.2,0.429,4.76,451.7208413001912,2
1490.0,10.7,7.14,1.79,71.4,3.57,0.5,10.7,356.1185468451243,2
1640.0,7.14,5.36,0.0,78.6,32.1,0.571,7.14,391.96940726577435,2
1610.0,3.85,3.85,0.0,84.6,30.8,0.442,3.85,384.79923518164435,2
1700.0,6.25,7.81,1.56,81.2,25.0,0.625,3.12,406.3097514340344,2
1550.0,7.41,1.85,0.0,85.2,7.41,0.815,3.7,370.4588910133843,2
167.0,0.0,0.0,0.0,10.0,10.0,0.196850393700787,0.0,39.913957934990435,1
167.0,0.0,0.0,0.0,10.0,10.0,0.0118110236220472,0.0,39.913957934990435,1
184.0,0.0,0.0,0.0,11.0,11.0,0.0078740157480315,0.0,43.977055449330784,1
142.0,0.0,0.0,0.0,8.5,8.5,0.0433070866141732,0.0,33.93881453154876,1
88.0,0.0,0.0,0.0,5.2,5.0,0.0196850393700787,0.0,21.03250478011472,1
2034.0,6.7,20.2,10.3,68.0,31.3,0.189,2.1,486.1376673040153,2
547.0,12.6,9.0,2.5,0.1,0.1,0.15,0.0,130.736137667304,2
1297.0,20.69,3.45,0.0,69.0,13.8,0.0826771653543307,22.4,309.9904397705545,2
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
1523.0,9.09,6.06,0.0,69.7,0.0,0.636,15.2,364.00573613766727,2
2029.0,6.06,30.3,15.15,51.52,0.0,0.606,9.1,484.94263862332696,2
171.0,0.0,0.0,0.0,10.0,9.9,0.0393700787401575,0.0,40.86998087954111,1
264.0,0.0,0.0,0.0,15.3,15.3,4.33070866141732,0.0,63.09751434034417,1
1812.0,6.67,16.67,6.67,60.0,0.0,0.6,10.0,433.0783938814531,2
1812.0,6.67,16.67,6.67,60.0,0.0,0.667,10.0,433.0783938814531,2
1812.0,6.67,16.67,6.67,60.0,0.0,0.967,10.0,433.0783938814531,2
1812.0,6.67,16.67,6.67,60.0,0.0,0.967,10.0,433.0783938814531,2
2126.0,5.2,26.8,2.1,59.8,2.8,0.956692913385827,3.7,508.1261950286807,2
2095.0,6.1,26.6,2.1,57.1,4.5,0.512,4.6,500.717017208413,2
2900.0,0.0,76.9,11.5,0.0,0.0,0.538,0.0,693.1166347992352,3
454.0,1.09,3.26,1.63,19.6,13.0,0.12,1.09,108.50860420650095,2
494.0,0.0,0.0,0.0,23.53,23.53,0.882,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,23.53,23.53,0.882,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,23.53,23.53,0.941,0.0,118.06883365200764,3
1088.0,8.0,3.0,0.0,48.0,6.0,0.52,2.0,260.038240917782,2
1088.0,8.0,3.0,0.0,48.0,6.0,0.52,2.0,260.038240917782,2
1180.0,10.26,5.13,0.0,51.28,5.13,0.436,2.6,282.0267686424474,2
494.0,0.0,0.0,0.0,23.53,23.53,0.882,0.0,118.06883365200764,3
1180.0,7.69,2.56,0.0,51.28,5.13,0.462,2.6,282.0267686424474,2
1184.0,9.43,1.89,0.0,54.72,5.66,0.491,1.9,282.9827915869981,2
494.0,0.0,0.0,0.0,23.53,23.53,0.882,0.0,118.06883365200764,3
2351.0,6.25,37.5,7.81,46.88,0.0,0.969,9.4,561.9024856596558,2
2222.0,6.25,37.5,7.81,43.75,0.0,0.938,9.4,531.0707456978968,2
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
1100.0,7.02,4.39,0.88,47.37,7.02,0.219,1.8,262.90630975143404,2
1670.0,0.0,7.5,7.5,85.0,55.0,0.0,0.0,399.1395793499044,2
159.0,0.0,0.0,0.0,10.0,9.17,0.017,0.0,38.0019120458891,1
155.0,0.0,0.0,0.0,9.17,4.17,0.008,0.0,37.04588910133843,1
176.0,0.0,0.0,0.0,10.83,10.42,0.025,0.0,42.06500956022944,1
159.0,0.0,0.0,0.0,9.58,9.58,0.021,0.0,38.0019120458891,1
176.0,0.0,0.0,0.0,10.0,9.58,0.008,0.0,42.06500956022944,1
155.0,0.0,0.0,0.0,9.17,4.17,0.008,0.0,37.04588910133843,1
176.0,0.0,0.0,0.0,10.0,9.58,0.008,0.0,42.06500956022944,1
8.0,0.0,0.1,0.1,0.1,0.1,0.0118110236220472,0.0,1.9120458891013383,1
25.0,0.1,0.1,0.1,1.0,1.0,0.0039370078740157,0.1,5.975143403441682,1
1790.0,7.14,10.7,0.0,71.4,0.0,1.21,0.0,427.8202676864245,2
105.0,0.7,0.1,0.0,4.7,4.7,0.0118110236220472,0.1,25.095602294455066,1
1890.0,14.3,14.3,3.57,66.7,0.0,0.833,2.38,451.7208413001912,2
1071.0,6.98,3.49,0.0,48.84,4.65,0.512,2.3,255.97514340344168,2
1100.0,9.21,3.29,0.0,48.68,5.26,0.539,1.3,262.90630975143404,2
1100.0,9.21,3.29,0.0,48.68,5.26,0.539,1.3,262.90630975143404,2
887.0,2.35,2.94,0.0,42.35,4.71,0.318,3.5,211.9980879541109,2
1880.0,5.0,17.5,10.0,72.5,45.0,0.2,2.5,449.33078393881453,2
2040.0,5.41,24.3,13.5,67.6,54.1,0.162,2.7,487.5717017208413,2
2029.0,6.06,36.36,9.09,42.42,3.03,1.0,9.1,484.94263862332696,2
1845.0,5.88,26.47,14.71,55.88,0.0,0.706,11.8,440.96558317399615,2
2029.0,6.06,36.36,9.09,42.42,3.03,1.0,9.1,484.94263862332696,2
2308.0,6.6,35.8,15.2,46.0,0.3,1.06299212598425,11.2,551.6252390057361,2
2155.0,9.09,33.33,12.12,48.48,3.03,1.333,9.1,515.057361376673,2
491.0,2.94,7.35,2.94,14.7,2.94,0.824,2.94,117.35181644359464,3
1490.0,14.3,7.14,1.79,67.9,0.0,0.268,10.7,356.1185468451243,2
1610.0,3.85,5.77,1.92,84.6,42.3,0.731,3.85,384.79923518164435,2
1700.0,7.41,9.26,3.7,77.8,33.3,0.741,3.7,406.3097514340344,2
1700.0,3.7,5.56,3.7,85.2,44.4,0.815,3.7,406.3097514340344,2
1700.0,7.41,9.26,3.7,77.8,33.3,0.741,3.7,406.3097514340344,2
1700.0,3.7,5.56,3.7,85.2,44.4,0.741,3.7,406.3097514340344,2
1904.0,9.09,21.21,9.09,57.58,0.0,0.909,9.1,455.0669216061185,2
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,23.53,23.53,0.941,0.0,118.06883365200764,3
230.0,7.0,0.0,0.0,15.0,0.0,0.0,0.0,54.97131931166348,1
900.0,9.23,2.31,0.0,43.08,4.62,0.369,7.7,215.10516252390056,2
1096.0,6.15,5.38,0.0,47.69,7.69,0.446,1.5,261.95028680688335,2
1029.0,7.69,5.38,0.0,44.62,6.15,0.369,4.6,245.93690248565966,2
1167.0,9.3,2.33,0.0,58.14,9.3,0.581,2.3,278.9196940726577,2
1590.0,3.45,3.45,1.72,89.7,41.4,0.466,10.3,380.019120458891,2
502.0,0.0,0.0,0.0,26.67,20.0,1.067,0.0,119.98087954110898,3
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,23.53,23.53,0.882,0.0,118.06883365200764,3
1795.0,10.71,16.07,5.36,64.29,0.0,1.036,14.3,429.0152963671128,2
1644.0,10.71,5.36,0.0,71.43,0.0,0.268,10.7,392.92543021032503,2
2090.0,12.5,22.5,20.0,62.5,52.5,0.138,5.0,499.52198852772466,2
2090.0,9.09,29.5,11.4,59.1,52.3,0.295,2.27,499.52198852772466,2
368.0,0.0,0.0,0.0,17.65,17.65,0.765,0.0,87.95411089866157,3
983.0,5.88,2.94,0.0,43.14,3.92,0.392,2.0,234.94263862332696,2
2029.0,6.06,30.3,15.15,51.52,0.0,0.606,12.1,484.94263862332696,2
2155.0,6.06,30.3,15.15,51.52,0.0,0.758,12.1,515.057361376673,2
494.0,0.0,0.0,0.0,29.4,23.5,0.941,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
1393.0,9.09,3.03,0.0,60.61,6.06,0.545,3.0,332.93499043977056,2
494.0,0.0,0.0,0.0,23.53,23.53,0.941,0.0,118.06883365200764,3
1912.0,5.71,28.57,14.29,51.43,0.0,0.771,8.6,456.9789674952199,2
1912.0,5.71,28.57,14.29,51.43,0.0,0.743,8.6,456.9789674952199,2
1912.0,5.71,28.57,14.29,51.43,0.0,0.771,8.6,456.9789674952199,2
1912.0,5.71,28.57,14.29,51.43,0.0,0.743,8.6,456.9789674952199,2
1674.0,8.89,17.78,7.78,60.0,0.0,0.778,8.9,400.09560229445503,2
1912.0,5.71,28.57,14.29,51.43,0.0,0.743,8.6,456.9789674952199,2
1184.0,8.7,4.35,0.0,50.0,6.52,0.457,2.2,282.9827915869981,2
293.0,1.56,1.95,0.0,10.94,7.81,0.359,1.6,70.02868068833652,3
556.0,0.0,0.0,0.0,26.67,26.67,0.967,0.0,132.887189292543,3
1490.0,10.7,7.14,0.0,71.4,3.57,0.571,10.7,356.1185468451243,2
279.0,3.56,3.56,2.22,4.89,4.89,0.0511,0.0,66.68260038240918,2D
386.0,8.51,2.13,0.709,11.3,7.8,0.0532,0.709,92.25621414913958,2D
494.0,0.0,0.0,0.0,23.53,23.53,1.235,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,23.53,23.53,1.235,0.0,118.06883365200764,3
1180.0,7.69,3.85,0.0,51.28,7.69,0.538,2.6,282.0267686424474,2
1523.0,9.09,6.06,0.0,69.7,0.0,0.636,15.2,364.00573613766727,2
1393.0,9.09,13.64,6.06,63.64,3.03,0.758,18.2,332.93499043977056,2
1100.0,10.53,2.63,0.0,71.05,0.0,0.0,21.0,262.90630975143404,2
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
920.0,12.0,3.0,0.0,42.0,6.0,0.42,6.0,219.8852772466539,2
2670.0,5.56,52.8,38.9,38.9,38.9,0.0833,2.78,638.1453154875717,2
188.0,0.5,0.1,0.1,10.4,9.3,0.0393700787401575,0.3,44.93307839388145,1
113.0,0.1,0.1,0.1,6.8,6.7,0.0393700787401575,0.1,27.007648183556405,1
