product_name,Size g,Product type,category,country,retailer,HSR,nutrient_energy_kj,protein_g_per_100g,fat_g_per_100g,sat_fat_g_per_100g,carbohydrates,sugars_g_per_100g,sodium_mg_per_100g,fiber_g_per_100g,ingredients_text,date_collected,allergen,data_source,kcal_per_100g
treatz,130,cereals,2,Australia,"coles, woolworths",1.5,1700.0,4.0,8.7,3.1,76.7,29.2,285.0,0.7,"White rice (38%), glucose, sugar, vegetable oil (antioxidant [tocopherols]), invert syrup, choc cookie pieces (6%) (wheat flour, sugar, vegetable oil, butter [milk], cocoa, tapioca syrup, raising agent [500], natural flavour, salt), marshmallows (6%) (glucose, sugar, gelatin [beef], thickener [1422], dextrose, acidity regulator [450], natural flavour), glucose solids, fructose, milk solids (2%), humectant (glycerol), salt, gelatin (beef), emulsifiers (canola lecithin, 472e, 472a [soy]), natural flavour, barley malt extract, antioxidant (rosemary extract).
",29/10/25,"gluten, wheat, peanut,tree nuts",,406.3097514340344
chop chip,100,cereals,2,Australia,"coles, woolworths",1.0,1780.0,3.2,11.3,5.5,76.7,36.5,290.0,0.7,"White rice (34%), glucose, choc chips (12%) (sugar, vegetable fat, milk solids, cocoa, emulsifiers [soy lecithin, 476], stabiliser [492]), fructose, sugar, vegetable oil (antioxidant [tocopherols]), glucose solids, invert syrup, humectant (glycerol), salt, gelatin (beef), natural flavour, emulsifiers (canola lecithin, 472e, 472a [soy]), barley malt extract, antioxidant (rosemary extract), milk solids.",29/10/25,"gluten, wheat, peanut,tree nuts",,425.43021032504777
splitstix,110,cereals,2,Australia,"coles, woolworths",0.5,1890.0,3.0,15.9,10.4,73.2,39.2,260.0,0.5,"White rice (29%), yoghurt compound (26%) (sugar, vegetable oil, milk solids, glucose [wheat], yoghurt powder [milk], emulsifier [soy lecithin], acidity regulator [330], salt), glucose, fructose, sugar, vegetable oil (antioxidant [tocopherols]), glucose solids, invert syrup, humectant (glycerol), salt, gelatin (beef), natural flavour, emulsifiers (canola lecithin, 472e, 472a [soy]), barley malt extract, antioxidant (rosemary extract), milk solids.",29/10/25,,"gluten, wheat, peanut,tree nuts",451.7208413001912
bean sprouts,250,vegetables,2,Australia,woolworths,5.0,188.0,41.0,1.0,1.0,5.5,1.7,4.0,3.1,,29/10/25,,,44.93307839388145
fresh carrot sticks,300,vegetables,2,Australia,woolworths,5.0,138.0,0.8,0.1,0.0,5.0,5.0,40.0,0.0,,29/10/25,,,32.98279158699809
classic potato mash,475,vegetables,2,Australia,woolworths,4.0,486.0,2.9,6.0,3.9,11.9,1.5,163.0,1.6,,29/10/25,,,116.1567877629063
Heart smart extra lean beef mince,500,meat,2,Australia,woolworths,4.5,545.0,21.2,5.0,2.3,1.0,1.0,56.0,0.0,Australian Beef (100%),29/10/25,,,130.25812619502867
champagne  leg ham,100,meat,2,Australia,woolworths,3.5,408.0,17.0,2.4,1.0,1.8,1.8,1050.0,0.0,"PORK (82%, WATER, SALT, DEXTROSE (MAIZE), POTATOST ARCH,VEGETABLE FIBRE, SUGAR , STABILISERS (339,450 ,451),FOOD ACID (331) ANTIOXIDANT (316),FLAVOUR, V EGETABLE GUM, HYDROLYSED VEGETABLEPROTEIN, PRESERV ATIVE (250), ACIDITY REGULATOR(326,321) VEGETABLE OIL,FLAVOUR ENHANCER(635), WOOD SMOKED.MANUFACTURE D MEAT",29/10/25,"EGG,GLUTEN,WHEAT,MILK,CRUSTACEAN,FISH,PEANUTS,TREE NUTS,SESAME,SOY,SULPHITES",,97.51434034416826
Woolworths Beef Porterhouse Steak & Butter 400g,400,meat,2,Australia,woolworths,2.0,1100.0,19.5,20.3,10.4,1.0,1.0,157.0,0.0,"Beef (90%), Herb & Garlic Butter (10%) (Butter (Cream (Milk), Salt), Garlic (Acidity Regulator (Citric Acid)), Onion, Herbs, Salt, Thickener (Xanthan Gum), Turmeric)",29/10/25,https://www.woolworths.com.au/shop/productdetails/243050/woolworths-beef-porterhouse-steak-butter,Milk,262.90630975143404
Woolworths Beef stir Fry,500,meat,2,Australia,woolworths,4.5,558.0,27.6,2.4,1.0,1.0,1.0,38.0,0.0,Australian Beef (100%),29/10/25,,,133.36520076481835
Macro organic lean beef mince,500,meat,2,Australia,woolworths,4.0,710.0,20.0,10.0,4.7,1.0,1.0,56.0,0.0,100% Australian Beef,29/10/25,,,169.6940726577438
Woolworths Health Smart Extra Lean Diced Beef 500g,500,meat,2,Australia,woolworths,4.5,558.0,27.6,2.4,1.0,1.0,1.0,38.0,0.0,Australian Beef (100%),29/10/25,,,133.36520076481835
Middle Bacon,1000,meat,2,Australia,woolworths,1.0,1030.0,15.1,20.4,8.2,1.2,1.0,1000.0,0.0,"Pork (86%), Water, Cure (Salt, Sugar, Mineral Salts (451, 450), Antioxidant (316), Preservative (250))",29/10/25,,,246.1759082217973
Short cut Bacon,200,meat,2,Australia,woolworths,1.5,635.0,16.3,9.2,3.4,1.0,1.0,1000.0,0.0,"Pork (85%), Water, Cure (Salt, Sugar, Mineral Salt s (451, 450), Antioxidant (316), Preservative (250 )), Naturally Wood Smoked",29/10/25,,,151.76864244741873
short cut wood smoked bacon,750,meat,2,Australia,woolworths,2.0,635.0,16.3,9.2,3.4,1.0,1.0,1000.0,0.0,"Pork, Water, Cure Salt, Sugar, Mineral Salts (451, 450), Antioxidant (316), Preservative (250), Wood Smoke.",29/10/25,,,151.76864244741873
cooking bacon,1000,meat,2,Australia,woolworths,1.0,1080.0,14.0,22.1,8.2,1.2,1.0,1000.0,0.0,"Pork (85%), Water, Cure (Salt, Sugar, Mineral Salts (451, 450), Antioxidant (316), Preservative (250)), Wood Smoke",29/10/25,,,258.1261950286807
kangoroo mince,1000,meat,2,Australia,woolworths,4.5,436.0,21.0,2.0,0.8,0.2,0.1,52.0,0.0,Kangaroo Meat (100%),29/10/25,,,104.20650095602294
K-Roo Kangaroo Sizzle Steak 400g,400,meat,2,Australia,woolworths,4.5,419.0,21.0,1.4,0.6,0.2,0.1,45.0,0.0,Kangaroo Meat,29/10/25,,,100.1434034416826
K-Roo Kangaroo Burger 440g,440,Burger,2,Australia,woolworths,4.0,397.0,18.0,1.9,0.8,2.1,0.3,430.0,0.0,"Kangaroo Meat (89%), Water, Rice Flour, Salt, Mineral Salts (450), Spices (Paprika, Pepper, Coriander, Mustard, Chilli, Nutmeg, Clove), Dehydrated Vegetables (Onion, Tomato, Garlic), Antioxidants (307b,316), Yeast Extract, Preservative (223), Sugar, Parsley. Gluten free.",29/10/25,,,94.88527724665391
K-Roo Herb & Garlic Kangaroo Steaks ,400,meat,,Australia,woolworths,4.0,602.0,30.0,1.9,0.6,3.5,1.8,375.0,0.0,"Kangaroo Meat (91%), Water, Sugar, Maltodextrin (Maize), Salt , Dehydrated Vegetables (Garlic, Red Bell Pepper, Onion), Herbs (Parsley, Rosemary, Thyme), Spices (Paprika, Chilli), Vegetable Gums (412, 461), Thickener (415), Canola Oil, Yeast extract, Colours (160c,100), Acidity Regulators (262, 330, 331), Mineral Salt (500), Antioxidant (316), Vegetable Extract (Garlic).",29/10/25,,,143.88145315487571
